50,731
100,313
150,232
200,178
250,132
300,92
350,94
400,89
450,93
500,86
550,91
600,90
650,96
700,87
750,94
800,88
850,94
900,88
950,91
1000,91
1050,95
1100,89
1150,92
1200,93
1250,95
1300,92
1350,94
1400,86
1450,96
1500,88
1550,95
1600,89
1650,92
1700,90
1750,94
1800,90
1850,93
1900,92
1950,95
2000,89
2050,93
2100,89
2150,93
2200,91
2250,95
2300,91
2350,91
2400,89
2450,95
2500,115
2550,96
2600,90
2650,92
2700,88
2750,96
2800,92
2850,93
2900,90
2950,92
3000,86
3050,90
3100,87
3150,95
3200,87
3250,96
3300,89
3350,93
3400,88
3450,96
3500,92
3550,95
3600,90
3650,93
3700,87
3750,90
3800,92
3850,95
3900,90
3950,92
4000,92
4050,94
4100,90
4150,92
4200,87
4250,95
4300,90
4350,93
4400,87
4450,91
4500,91
4550,94
4600,88
4650,97
4700,92
4750,96
4800,90
4850,92
4900,87
4950,94
5000,190
5050,94
5100,86
5150,95
5200,91
5250,95
5300,87
5350,92
5400,89
5450,93
5500,91
5550,91
5600,87
5650,96
5700,92
5750,94
5800,87
5850,90
5900,91
5950,95
6000,88
6050,92
6100,89
6150,91
6200,92
6250,99
6300,89
6350,90
6400,86
6450,91
6500,87
6550,91
6600,91
6650,91
6700,91
6750,92
6800,93
6850,91
6900,86
6950,96
7000,87
7050,91
7100,89
7150,91
7200,91
7250,96
7300,93
7350,90
7400,91
7450,90
7500,111
7550,96
7600,92
7650,93
7700,86
7750,93
7800,69
7850,74
7900,70
7950,583
8000,74
8050,73
8100,375
8150,767
8200,445
8250,425
8300,320
8350,617
8400,554
8450,52
8500,74
8550,64
8600,51
8650,68
8700,70
8750,50
8800,407
8850,403
8900,57
8950,79
9000,53
9050,148
9100,59
9150,76
9200,55
9250,74
9300,55
9350,77
9400,896
9450,77
9500,519
9550,77
9600,460
9650,69
9700,314
9750,84
9800,580
9850,499
9900,443
9950,392
10000,455
10050,252
10100,242
10150,173
10200,133
10250,123
10300,72
10350,73
10400,72
10450,78
10500,71
10550,74
10600,74
10650,72
10700,77
10750,72
10800,78
10850,71
10900,77
10950,74
11000,77
11050,70
11100,72
11150,68
11200,71
11250,73
11300,75
11350,68
11400,73
11450,75
11500,67
11550,75
11600,72
11650,75
11700,70
11750,76
11800,68
11850,76
11900,71
11950,68
